MES_ANO;UF_PROCEDENCIA;CATEGORIA;QTD_MACHO;QTD_FEMEA
04/2013;SP;Novilho Intermediario;2868;0
04/2014;MG;Frango;31771778;0
04/2014;PA;Bufalo;140;0
04/2014;SP;Bovino;90608;52839
04/2014;SP;Vaca;2505;0
04/2015;PA;Galo;429;0
04/2015;SP;Bufalo;73;0
04/2015;SP;Cordeiro;95;0
04/2015;SP;Novilho Precoce;560;0
04/2015;SP;Suino Tipo Carne,;32136;27290
04/2015;TO;Frango;2009120;0
04/2015;TO;Vaca;2;0
04/2016;AC;Bovino;19863;5163
04/2016;ES;Galinha;87687;0
04/2016;RS;Novilha Precoce;135;0
04/2016;SP;Novilho Intermediario;2938;0
04/2017;GO;Galo;6381;0
04/2017;MS;Frango;11723898;0
04/2017;PR;Frango;138410188;0
04/2017;SP;Porco Nao Classificado;10947;0
04/2018;GO;Frango;35441936;0
04/2018;GO;Peru;126857;0
04/2018;RS;Vaca;10782;0
04/2019;BA;Ovino;100;8
04/2019;RJ;Bovino;1282;552
04/2020;MG;Porco Nao Classificado;61466;0
04/2020;SC;Porco Matrizeiro;260;0
04/2020;SP;Cordeiro;120;0
04/2021;BA;Suíno;226;226
04/2021;PA;Bubalino;66;79
04/2021;RS;Peru;172494;249357
04/2021;RS;Tilápia do Nilo;33746;0
04/2022;MS;Frango;9513493;2116054
04/2022;RS;Galinha;2659350;11252640
05/2003;AL;Bovino;2119;329
05/2003;GO;Suino;5600;5021
05/2003;RN;Caprino;40;0
05/2003;RS;Galinha;359401;0
05/2003;RS;Suino;163795;169042
05/2004;PE;Bovino;65;0
05/2004;RO;Novilhao;45881;0
05/2004;RS;Ovelha;1006;0
05/2005;GO;Vaca;9008;0
05/2005;MA;Suino;19;11
05/2005;MG;Asinino;34;45
05/2005;MG;Muar;54;41
05/2005;SP;Avestruz;76;0
05/2005;SP;Cordeiro;381;0
05/2006;MG;Porca Matrizeira;2001;0
05/2006;RJ;Equino;121;58
05/2006;RS;Bufala;119;0
05/2007;BA;Asinino;96;186
05/2007;MT;Porco Matrizeiro;425;0
05/2007;SP;Novilho Precoce;117;0
05/2008;BA;Frango;3181458;0
05/2008;MG;Galinha;309079;0
05/2008;RS;Bufalo;140;0
05/2009;GO;Vaca;1373;0
05/2009;PR;Vaca;2265;0
05/2009;RS;Capao;687;0
05/2009;SC;Equino;125;129
05/2009;SP;Coelha;85;0
05/2010;MT;Faizão;78556;0
05/2010;SC;Coelha;320;0
05/2011;DF;Galinha;67026;0
05/2011;MA;Bovino;27330;715
05/2011;MG;Peru;551778;0
05/2011;PR;Porco Matrizeiro;2;0
05/2011;PR;Suino Tipo Banha,;789;0
05/2011;SC;Codorna;531068;0
05/2011;SC;Pato;113095;0
05/2011;SC;Porca Matrizeira;11007;0
05/2012;GO;Bufala;39;0
05/2012;GO;Vaca;17561;0
05/2012;MT;Muar;6;5
05/2012;SC;Peru;1082556;0
05/2012;SC;Porca Matrizeira;11181;0
05/2013;MG;Touro/Touruno;8;0
05/2013;PR;Porco Matrizeiro;1;0
05/2013;SC;Porco Nao Classificado;100220;0
